Influencer Name,User ID,Platform,Country,Hashtags,Influencer Profile,Followers,Total Videos,Recent 30 Videos' Views,Recent 30 Videos' Likes,Recent 30 Videos' Comments,Titles of Last 10 Videos,Profile of the Last 10 Videos
ParentingPro_03,user_1203,TikTok,United Kingdom,"#EarlyParenting, #BabyJourney, #ParentingWins, #ChildRearing, #FamilyMoments",Sharing the joys and challenges of early parenting.,160k,275,2.9m,81k,3.9k,"Handling Toddler Tantrums, Baby Sign Language, First Foods for Babies, New Parent Support Groups, Nursery Room Ideas, Diaper Changing Tricks, Child Vaccination Schedule, Reading to Infants, Outdoor Safety for Kids, Parent-Child Bonding Activities","Practical tips on managing toddler tantrums, teaching baby sign language, introducing solid foods, finding support as a new parent, creative nursery room decoration, diaper changing techniques, vaccination guide for children, benefits of reading to infants, ensuring safety during outdoor activities, ideas for bonding with your child."
BabyCareGuru_04,user_1204,YouTube,Canada,"#InfantCare, #Motherhood, #BabyHealth, #NewbornTips, #ParentingGuide",Expert advice on newborn care and maternal health.,140k,260,2.6m,75k,3.5k,"Breastfeeding Essentials, Soothing a Crying Baby, Postpartum Fitness, Baby's Sleep Schedule, Newborn Bathing Safety, Choosing the Right Formula, Developmental Milestones, Creating a Baby-friendly Home, Mother-Baby Bonding, Handling Common Illnesses","Guidance on breastfeeding, techniques to soothe crying infants, postpartum fitness advice, establishing a sleep routine for babies, safe bathing practices, choosing baby formula, understanding developmental milestones, tips for baby-proofing your home, nurturing mother-baby relationships, managing common infant illnesses."
NewMomDiaries_05,user_1205,TikTok,Australia,"#NewMomLife, #BabyCareTips, #PostpartumJourney, #FirstYearMoments, #BabySmiles",A new mom's diary sharing day-to-day experiences and learnings.,150k,290,2.7m,80k,4.0k,"First Time Parenting, Baby Nutrition Guide, Choosing Baby Apparel, Infant Toy Selection, Baby's First Foods, Celebrating Baby Milestones, Mom's Self Care, Home Safety for Toddlers, Balancing Work and Parenting, Fun with Baby Activities","Personal experiences as a first-time parent, advice on baby nutrition, selecting appropriate baby clothes, choosing safe toys for infants, introducing solid foods, celebrating key milestones in baby's first year, tips for mom's self-care, ensuring home safety for active toddlers, balancing professional life with parenting, engaging and fun activities to do with your baby."
FitChampion_101,user_2101,YouTube,United States,"#WorkoutGoals, #OutdoorAdventures, #FitnessJunkie, #HealthyLiving, #SportsMania",Bringing you the best in fitness training and outdoor sports.,200k,350,3.5m,110k,5k,"Marathon Training Tips, CrossFit Workouts, Yoga for Athletes, Mountain Biking Trails, Swimming Techniques, Strength Training Basics, Rock Climbing Essentials, Triathlon Preparation, Home Gym Setup, Healthy Diet Plans","Expert advice on marathon training, CrossFit routines, integrating yoga into sports training, exploring mountain biking, mastering swimming strokes, foundational strength training, rock climbing for beginners, triathlon training strategies, setting up a home gym, crafting nutritious diet plans."
YogaSpirit_102,user_2102,TikTok,Canada,"#YogaLife, #FitnessMotivation, #MindBodySoul, #WellnessJourney, #OutdoorYoga",Inspiring a balanced life through yoga and wellness.,180k,300,3.0m,90k,4.5k,"Morning Yoga Routines, Meditation Techniques, Yoga for Stress Relief, Advanced Yoga Poses, Yoga Retreat Experiences, Pranayama Breathwork, Yoga for Beginners, Mindfulness Practices, Yoga in Nature, Yoga Diet Tips","Guided morning yoga sequences, various meditation methods, using yoga to manage stress, tutorials on advanced yoga poses, experiences from yoga retreats, teaching pranayama techniques, introductory yoga sessions, exercises in mindfulness, practicing yoga outdoors, dietary advice for yogis."
TrailExplorer_103,user_2103,YouTube,Australia,"#HikingAdventures, #TrailRunning, #OutdoorFitness, #NatureLover, #ExploreOutdoors",Your guide to exploring the great outdoors and staying fit.,220k,380,4.2m,120k,6k,"Best Hiking Trails, Trail Running Gear, Wilderness Survival Tips, Outdoor Camping Hacks, Fitness Tracking Apps, Eco-Friendly Outdoor Activities, Wildlife Safety, Nature Photography, Environmental Conservation, Off-Trail Explorations","Reviews of top hiking trails, recommendations for trail running equipment, tips for surviving in the wilderness, clever camping hacks, using fitness tracking apps, engaging in eco-friendly outdoor activities, ensuring safety around wildlife, capturing nature through photography, promoting environmental conservation, adventures in off-trail exploration."
EduMaster_201,user_3101,YouTube,United States,"#LearningIsFun, #StudyTips, #EducationalTech, #CareerDevelopment, #SkillBuilding",Empowering learners with innovative educational techniques and career advice.,190k,280,3.2m,100k,4.5k,"Effective Study Methods, E-Learning Tools, Time Management Skills, Professional Growth Strategies, Online Course Reviews, Creative Learning Techniques, Student Motivation, Language Learning Tips, Exam Preparation Guides, Resume Building","Guides on efficient study habits, reviews of e-learning platforms, developing time management skills, strategies for professional growth, evaluations of online courses, creative methods for enhancing learning, motivational tips for students, advice on learning new languages, comprehensive exam preparation, and resume writing skills."
SkillBuilder_202,user_3102,TikTok,United Kingdom,"#LearnEveryDay, #TrainingGuru, #EducationMatters, #SkillsForLife, #ContinuousLearning",Focusing on skill development and continuous learning for all ages.,160k,260,2.8m,85k,3.8k,"Soft Skills Training, Coding for Beginners, Career Coaching, Public Speaking Tips, Digital Literacy, Financial Literacy Basics, Personal Development Workshops, Leadership Skills, Online Learning Platforms, Creative Writing Techniques","Soft skill enhancement strategies, basics of coding, guidance for career progression, mastering public speaking, becoming digitally literate, understanding financial basics, workshops for personal growth, developing leadership qualities, navigating online learning platforms, and improving creative writing."
TheLearningCoach_203,user_3103,YouTube,Canada,"#EducationForAll, #LifelongLearning, #AcademicExcellence, #TrainingExperts, #KnowledgeSharing",Dedicated to promoting academic excellence and lifelong learning.,175k,300,3.0m,90k,4.2k,"Advanced Mathematics Tutorials, Science Experiments at Home, History Documentaries, Philosophy Discussions, Literature Analysis, Art History Lessons, Educational Psychology, World Geography Quizzes, Classroom Management Tips, Educational Policy Debates","In-depth mathematics tutorials, conducting science experiments, exploring historical events, philosophical discussions, analyses of classic literature, lessons on art history, insights into educational psychology, interactive geography quizzes, strategies for managing classrooms, and engaging in educational policy discussions."
PetWhisperer_301,user_4101,YouTube,Australia,"#PetLove, #AnimalCare, #HappyPets, #PetTraining, #FurryFriends",Dedicated to enriching the lives of pets and their owners.,210k,320,3.6m,105k,4.7k,"Dog Training Basics, Cat Nutrition Tips, Aquarium Maintenance, Bird Care Guide, Pet Grooming Techniques, Exotic Pets 101, Pet Behavior Analysis, Animal Rescue Stories, Pet-Friendly Home Ideas, Wildlife Conservation Efforts","Essential dog training tips, nutritional advice for cats, maintaining healthy aquariums, caring for pet birds, grooming techniques for pets, introductory guide to exotic pets, understanding pet behaviors, inspiring animal rescue tales, creating a pet-friendly living space, and promoting wildlife conservation."
FelineFriends_302,user_4102,TikTok,United States,"#CatLovers, #MeowMoments, #KittyCare, #FelineFun, #CatHealth",Celebrating the joy and quirks of feline companions.,185k,290,3.1m,95k,4.1k,"Indoor Cat Enrichment, Adopting Shelter Cats, Managing Cat Allergies, Cat Training Tricks, Senior Cat Care, Cat Diet and Nutrition, DIY Cat Toys, Understanding Cat Behaviors, Preventing Cat Scratching, Feline First Aid","Ideas for enriching indoor cat environments, adopting and caring for shelter cats, tips for managing allergies, training techniques for cats, caring for elderly cats, nutritional guidance for cats, creating homemade cat toys, interpreting feline behaviors, preventing unwanted scratching, and basic first aid for cats."
CanineCompanion_303,user_4103,YouTube,United Kingdom,"#DogLife, #PuppyLove, #CanineCare, #DogTraining, #ManBestFriend",All about fostering a great relationship between dogs and their owners.,200k,310,3.4m,100k,4.5k,"Puppy House Training, Best Dog Breeds for Families, Dog Exercise Routines, Grooming Your Dog, Canine Health Checkups, Understanding Dog Emotions, Dog Park Etiquette, Adventure with Your Dog, Training Older Dogs, Homemade Dog Treats","Effective house training for puppies, choosing the right dog breed for families, daily exercise routines for dogs, tips for grooming dogs, routine health checkups, understanding and responding to dog emotions, appropriate behavior at dog parks, planning outdoor adventures with dogs, training techniques for older dogs, and recipes for homemade dog treats."
GlobeTrekker_401,user_5101,YouTube,United States,"#WorldExplorer, #TravelDiaries, #AdventureSeeker, #CulturalJourneys, #Wanderlust",Exploring the globe and sharing unique cultural experiences.,250k,360,4.5m,130k,5.2k,"Hidden Gems in Europe, Backpacking Through Asia, Eco-Friendly Travel Tips, Local Cuisine Adventures, Historic Sites Tour, Experiencing Festivals Worldwide, Desert Exploration, Travel Photography Tips, Budget Travel Hacks, Island Hopping Guide","Discovering lesser-known destinations in Europe, backpacking guides for Asia, tips for eco-friendly traveling, exploring local cuisines, tours of historical landmarks, experiencing global festivals, adventures in various deserts, advice on travel photography, how to travel on a budget, and guides to island hopping."
CityScapeAdventurer_402,user_5102,TikTok,Canada,"#CityTravel, #UrbanExploration, #MetropolitanLife, #CityGuides, #UrbanAdventures",Delving into the heart of cities and uncovering urban treasures.,180k,280,3.0m,90k,4.0k,"Top 10 City Skylines, Street Food Trails, Urban Art Walks, City Nightlife Guide, Historic Urban Centers, Best City Parks, Urban Hiking Trails, Public Transport Tips, City Cycling Tours, Coffee Shops to Visit","Rankings of the best city skylines, guides to street food, tours of urban art scenes, exploring city nightlife, history of urban centers, recommendations for city parks, hiking in urban environments, navigating public transportation, cycling routes in cities, and top coffee shops in various cities."
SeasideVoyager_403,user_5103,YouTube,Australia,"#BeachLife, #CoastalTrips, #OceanLovers, #SeasideAdventures, #SandyBeaches",Capturing the essence of coastal life and seaside adventures.,220k,340,4.0m,115k,5.0k,"Best Beach Destinations, Coastal Hiking Trails, Seafood Cuisine Delights, Ocean Conservation Efforts, Surfing Hotspots, Coastal Photography Spots, Beach Camping Tips, Maritime Museums, Lighthouse Tours, Coastal Road Trips","Exploring top beach destinations, hiking along scenic coastal trails, enjoying various seafood cuisines, participating in ocean conservation, surfing at renowned spots, best locations for coastal photography, tips for camping on beaches, tours of maritime museums, visiting famous lighthouses, and planning road trips along the coast."
TechSavvy_501,user_6101,YouTube,United States,"#AppReviews, #SoftwareSolutions, #TechTrends, #DigitalInnovation, #AppDevelopment",Covering the latest trends in software and app development.,230k,380,4.7m,140k,5.5k,"Top Mobile Apps of the Year, AI in Software Development, Cloud Computing Basics, Project Management Tools, VR App Experiences, Cybersecurity Software, Productivity Apps, Gaming Software Trends, UX/UI Design Tips, Blockchain Applications","Reviews of leading mobile apps, the role of AI in software development, fundamentals of cloud computing, overview of project management tools, exploring VR applications, understanding cybersecurity software, top productivity applications, trends in gaming software, guidance on UX/UI design, exploring blockchain technology in apps."
AppWizard_502,user_6102,TikTok,India,"#MobileApps, #TechGadgets, #AppDesign, #DigitalTools, #SoftwareTips",Exploring innovative mobile apps and digital tools.,195k,300,3.3m,120k,4.8k,"Budgeting App Reviews, Fitness Tracking Apps, Photo Editing Software, Task Management Tools, Educational App Guide, Social Media Apps, Music Streaming Services, Video Conferencing Tools, Note-Taking Apps, Mobile Gaming Favorites","Reviewing various budgeting apps, exploring fitness tracking applications, tips on photo editing software, using task management tools effectively, guide to educational apps, insights into popular social media applications, overview of music streaming services, using video conferencing tools, best note-taking applications, favorite mobile gaming apps."
DevGuru_503,user_6103,YouTube,United Kingdom,"#CodingLife, #SoftwareDev, #TechWorld, #ProgrammingTips, #AppInnovation",Sharing insights and tips on software development and coding.,210k,350,4.0m,125k,5.1k,"JavaScript for Beginners, Advanced Python Projects, Mobile App Development, Data Visualization Tools, Front-End Frameworks, Backend Technologies, AR/VR in App Creation, Database Management, Coding Bootcamps, Open Source Contributions","Introductory tutorials on JavaScript, projects for advanced Python programmers, insights into mobile app development, tools for data visualization, exploring front-end frameworks, understanding backend technologies, implementing AR/VR in apps, database management techniques, benefits of coding bootcamps, and contributing to open source projects."
UrbanChic_601,user_7101,YouTube,United Kingdom,"#UrbanLiving, #FashionTrends, #HomeDecor, #CityLife, #ModernLifestyle",Showcasing the latest trends in urban lifestyle and fashion.,240k,390,5.0m,150k,6.0k,"Street Style Fashion, Apartment Decorating Tips, Gourmet City Eats, Digital Nomad Guide, Yoga in the City, Sustainable Living, DIY Urban Gardening, Smart Home Gadgets, Nightlife Hotspots, Wellness in the City","Exploring street style fashion trends, tips for decorating modern apartments, reviews of gourmet city restaurants, guides for digital nomads, practicing yoga in urban settings, adopting sustainable living habits, DIY projects for urban gardening, using smart home technology, discovering nightlife hotspots, and maintaining wellness in a city environment."
EcoWarrior_602,user_7102,TikTok,Canada,"#EcoFriendly, #GreenLiving, #SustainableChoices, #MindfulLiving, #NatureLove",Advocating for eco-friendly living and sustainable choices.,210k,320,4.2m,130k,5.3k,"Zero Waste Home Tips, Vegan Lifestyle, Ethical Fashion Choices, Reducing Carbon Footprint, Eco-Friendly Travel, Solar Energy Use, Organic Gardening, Recycling and Upcycling, Clean Beauty Products, Conserving Water","Guidance on creating a zero waste home, adopting a vegan lifestyle, making ethical fashion choices, methods to reduce carbon footprints, tips for eco-friendly travel, benefits of using solar energy, techniques for organic gardening, ideas for recycling and upcycling, choosing clean beauty products, and strategies for conserving water."
WellnessGuru_603,user_7103,YouTube,Australia,"#WellnessJourney, #HealthyLiving, #MindBodySoul, #SelfCare, #HolisticHealth",Inspiring a holistic approach to health and wellness.,225k,360,4.6m,140k,5.8k,"Meditation Techniques, Nutritious Meal Prep, Yoga for Stress Relief, Self-Care Routines, Mindfulness Practices, Herbal Remedies, Physical Fitness, Emotional Wellness, Detox Diets, Aromatherapy Benefits","Tutorials on various meditation techniques, preparing nutritious meals, using yoga for stress management, daily self-care routines, exercises in mindfulness, exploring herbal remedies, maintaining physical fitness, fostering emotional wellness, understanding detox diets, and the benefits of aromatherapy."
CreativeCanvas_701,user_8101,YouTube,France,"#ArtWorld, #ModernArt, #ArtistShowcase, #PaintingTechniques, #GalleryTours",Exploring the vibrant world of modern art and creative expression.,260k,400,5.2m,155k,6.2k,"Abstract Art Explained, Watercolor Techniques, Sculpture Art Forms, Digital Art Revolution, Famous Painters' Styles, Art Therapy Benefits, Street Art Culture, Art Exhibition Reviews, Printmaking Process, Art in Architecture","Insights into abstract art, techniques in watercolor painting, various forms of sculpture art, the impact of digital art, exploring the styles of famous painters, benefits of art therapy, the culture of street art, reviews of art exhibitions, the process of printmaking, and the role of art in architecture."
UrbanSketcher_702,user_8102,TikTok,United States,"#SketchingLife, #UrbanArt, #DrawingSkills, #CreativeMinds, #ArtOnTheGo",Bringing urban scenes to life through sketching and drawing.,220k,340,4.3m,135k,5.4k,"Cityscape Sketching, Portrait Drawing Tips, Plein Air Sketching, Pen and Ink Techniques, Charcoal Drawing, Graffiti Art Inspirations, Sketchbook Ideas, Travel Sketching, Architectural Drawings, Figure Sketching","Sketching cityscapes, tips for drawing portraits, plein air sketching techniques, using pen and ink, creating with charcoal, inspirations from graffiti art, creative sketchbook concepts, sketching while traveling, drawing architectural structures, and figure sketching techniques."
GalleryGuru_703,user_8103,YouTube,Italy,"#ArtLovers, #GalleryVisits, #ArtHistory, #ContemporaryArtists, #Masterpieces",A journey through art history and contemporary galleries.,240k,370,4.8m,145k,5.7k,"Renaissance Art Tour, Modern Art Movements, Art Collector Insights, Emerging Artists to Watch, Famous Artworks Analysis, Virtual Gallery Tours, Art Investment Tips, Sculpture Art Explained, Art Restoration Processes, Famous Gallery Behind the Scenes","Exploring Renaissance art, overview of modern art movements, insights from art collectors, emerging artists in the contemporary scene, analyses of famous artworks, virtual tours of galleries, tips for art investment, understanding sculpture art, processes involved in art restoration, and behind-the-scenes looks at famous galleries."
WellnessGuide_801,user_9101,YouTube,United States,"#HealthTips, #WellnessJourney, #FitnessMotivation, #MentalHealth, #NutritionFacts",Dedicated to promoting holistic health and wellness.,270k,420,5.4m,160k,6.5k,"Healthy Eating Habits, Workout Routines, Stress Management Techniques, Sleep Hygiene, Yoga for Beginners, Mental Health Awareness, Weight Loss Journeys, Heart Health Tips, Immune System Boosters, Holistic Healing Practices","Guidance on healthy eating, effective workout routines, managing stress, improving sleep quality, introductory yoga sessions, promoting mental health, personal weight loss stories, tips for maintaining heart health, natural ways to boost the immune system, and exploring holistic healing methods."
FitnessFanatic_802,user_9102,TikTok,Australia,"#FitLife, #HealthGoals, #ExerciseDaily, #HealthyLiving, #BodyPositivity",Encouraging a fit and active lifestyle for overall health.,230k,380,4.8m,145k,5.8k,"HIIT Workouts, Marathon Training, Healthy Meal Prep, Personal Fitness Challenges, Gym Equipment Guide, Active Recovery Techniques, Fitness Trackers Reviewed, Hydration and Health, Outdoor Activities, Bodyweight Exercises","High-Intensity Interval Training routines, marathon preparation tips, ideas for healthy meal prep, personal fitness challenge experiences, reviews of gym equipment, techniques for active recovery, evaluations of fitness trackers, importance of hydration for health, engaging in outdoor activities, and bodyweight exercise routines."
MindBodySoul_803,user_9103,YouTube,Canada,"#MentalWellness, #PhysicalHealth, #SpiritualGrowth, #SelfCare, #Mindfulness","Focusing on the interconnectedness of mental, physical, and spiritual health.",250k,400,5.0m,150k,6.0k,"Meditation Techniques, Physical Fitness Regimens, Spiritual Retreats, Self-Care Sundays, Mindful Eating, Yoga for Health, Coping with Anxiety, Personal Growth Workshops, Energy Healing, Balanced Lifestyle Tips","Various meditation practices, fitness regimens for physical health, experiences in spiritual retreats, self-care routines, practicing mindful eating, health benefits of yoga, strategies for coping with anxiety, workshops for personal growth, exploring energy healing, and tips for a balanced lifestyle."
BizStrategist_901,user_10101,YouTube,United States,"#BusinessGrowth, #ConsultingTips, #Entrepreneurship, #ServiceInnovation, #CorporateStrategy",Offering strategic advice for business growth and entrepreneurship.,280k,440,5.6m,165k,6.8k,"Scaling Your Business, Effective Leadership Skills, Digital Marketing Strategies, Startup Funding, Customer Service Excellence, Brand Development, Organizational Efficiency, Market Analysis Techniques, Social Media for Business, Business Networking","Strategies for scaling businesses, developing effective leadership, digital marketing tactics, securing startup funding, delivering excellent customer service, building strong brands, improving organizational efficiency, analyzing market trends, leveraging social media for business, and effective business networking."
ServiceSavvy_902,user_10102,TikTok,United Kingdom,"#CustomerExperience, #ServiceDesign, #ConsultingLife, #BusinessSolutions, #ServiceManagement",Exploring innovative service design and customer experience strategies.,240k,400,5.2m,155k,6.4k,"Enhancing Customer Experience, Service Design Principles, Consulting Industry Insights, Effective Communication, Business Process Optimization, Customer Feedback Loops, Service Blueprinting, Client Relationship Management, Innovative Service Ideas, Professional Development in Consulting","Methods for enhancing customer experience, fundamentals of service design, insights into the consulting industry, mastering effective communication, optimizing business processes, utilizing customer feedback, creating service blueprints, managing client relationships, generating innovative service ideas, and professional growth in consulting."
InnovateImpact_903,user_10103,YouTube,Australia,"#InnovationConsulting, #ImpactStrategies, #BusinessTransformation, #ChangeManagement, #ConsultingSkills",Focused on helping businesses innovate and make impactful transformations.,260k,420,5.4m,160k,6.6k,"Innovative Business Models, Creating Social Impact, Change Management Techniques, Organizational Restructuring, Strategic Consulting, Leadership in Change, Tech-Driven Business Solutions, Corporate Sustainability, Business Analytics, Growth Mindset in Consulting","Developing innovative business models, strategies for creating social impact, change management methods, techniques for organizational restructuring, strategic consulting approaches, leading through change, integrating technology in business solutions, achieving corporate sustainability, utilizing business analytics, and fostering a growth mindset in consulting."
